,Region,Variables,R_2,Var_R,Random_seed
111,LosAngeles,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.947205841820446,0.02395448625887664,1
112,LosAngeles,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9308379627779632,0.04059347682535397,2
113,LosAngeles,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9454876072006547,0.026512035220848773,3
114,LosAngeles,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9750563957878261,0.0086277348624888,4
115,Louisville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",-1.2310736311982984,1.5615488058441622,0
116,Louisville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8301046280809179,0.06829441077695453,1
117,Louisville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.32490887126625967,0.4577148472360201,2
118,Louisville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8668170023347992,0.022052141267335457,3
119,Louisville,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7413580270164868,0.1395589194430933,4
120,MiamiFtLauderdale,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.4783070809494503,0.18812278077488376,0
121,MiamiFtLauderdale,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9076063794355119,0.0515019318981651,1
122,MiamiFtLauderdale,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.7860310495755998,0.07661016427511691,2
123,MiamiFtLauderdale,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.45726014431146356,0.40228724995947973,3
124,MiamiFtLauderdale,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8101525733960582,0.026539037262523824,4
125,Midsouth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.8948884037670608,0.00284645118158533,0
126,Midsouth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.5494354431119853,0.11291175966382117,1
127,Midsouth,"['Standard Volume', 'year', 'n_week', 'type_Bool']",0.9013263381916268,0.032441688204952746,2
